NODE,PI?,PO?,NODE DELAY,NODE LABEL,CLUSTER SIZE,CLUSTER CONTENTS
g1460[IL],Y,N,0,0,1,g1460[IL] 
II5989,N,N,1,1,2,II5989 g1460[IL] 
g2246,N,N,1,2,3,g2246 II5989 g1460[IL] 
II6553,N,N,1,3,4,II6553 g2246 II5989 g1460[IL] 
g2825,N,N,1,4,5,g2825 II6553 g2246 II5989 g1460[IL] 
II7302,N,N,1,5,6,II7302 g2825 II6553 g2246 II5989 g1460[IL] 
g3833,N,N,1,6,7,g3833 II7302 g2825 II6553 g2246 II5989 g1460[IL] 
II5353,N,N,1,7,8,II5353 g3833 II7302 g2825 II6553 g2246 II5989 g1460[IL] 
g206,N,Y,1,11,8,g206 II5353 g3833 II7302 g2825 II6553 g2246 II5989 
II6646,N,N,1,3,4,II6646 g2246 II5989 g1460[IL] 
g2916,N,N,1,4,5,g2916 II6646 g2246 II5989 g1460[IL] 
II7314,N,N,1,5,6,II7314 g2916 II6646 g2246 II5989 g1460[IL] 
g3837,N,N,1,6,7,g3837 II7314 g2916 II6646 g2246 II5989 g1460[IL] 
II5356,N,N,1,7,8,II5356 g3837 II7314 g2916 II6646 g2246 II5989 g1460[IL] 
g291,N,Y,1,11,8,g291 II5356 g3837 II7314 g2916 II6646 g2246 II5989 
II6663,N,N,1,3,4,II6663 g2246 II5989 g1460[IL] 
g2927,N,N,1,4,5,g2927 II6663 g2246 II5989 g1460[IL] 
II7320,N,N,1,5,6,II7320 g2927 II6663 g2246 II5989 g1460[IL] 
g3839,N,N,1,6,7,g3839 II7320 g2927 II6663 g2246 II5989 g1460[IL] 
II5359,N,N,1,7,8,II5359 g3839 II7320 g2927 II6663 g2246 II5989 g1460[IL] 
g372,N,Y,1,11,8,g372 II5359 g3839 II7320 g2927 II6663 g2246 II5989 
II6686,N,N,1,3,4,II6686 g2246 II5989 g1460[IL] 
g2940,N,N,1,4,5,g2940 II6686 g2246 II5989 g1460[IL] 
II7326,N,N,1,5,6,II7326 g2940 II6686 g2246 II5989 g1460[IL] 
g3841,N,N,1,6,7,g3841 II7326 g2940 II6686 g2246 II5989 g1460[IL] 
II5362,N,N,1,7,8,II5362 g3841 II7326 g2940 II6686 g2246 II5989 g1460[IL] 
g453,N,Y,1,11,8,g453 II5362 g3841 II7326 g2940 II6686 g2246 II5989 
II6695,N,N,1,3,4,II6695 g2246 II5989 g1460[IL] 
g2947,N,N,1,4,5,g2947 II6695 g2246 II5989 g1460[IL] 
II7332,N,N,1,5,6,II7332 g2947 II6695 g2246 II5989 g1460[IL] 
g3843,N,N,1,6,7,g3843 II7332 g2947 II6695 g2246 II5989 g1460[IL] 
II5365,N,N,1,7,8,II5365 g3843 II7332 g2947 II6695 g2246 II5989 g1460[IL] 
g534,N,Y,1,11,8,g534 II5365 g3843 II7332 g2947 II6695 g2246 II5989 
II6673,N,N,1,3,4,II6673 g2246 II5989 g1460[IL] 
g2933,N,N,1,4,5,g2933 II6673 g2246 II5989 g1460[IL] 
II7362,N,N,1,5,6,II7362 g2933 II6673 g2246 II5989 g1460[IL] 
g3853,N,N,1,6,7,g3853 II7362 g2933 II6673 g2246 II5989 g1460[IL] 
II5368,N,N,1,7,8,II5368 g3853 II7362 g2933 II6673 g2246 II5989 g1460[IL] 
g594,N,Y,1,11,8,g594 II5368 g3853 II7362 g2933 II6673 g2246 II5989 
g888[IL],Y,N,0,0,1,g888[IL] 
g2293,N,N,1,1,2,g2293 g888[IL] 
g3659,N,N,1,2,3,g3659 g2293 g888[IL] 
II7417,N,N,1,3,4,II7417 g3659 g2293 g888[IL] 
g3884,N,N,1,4,5,g3884 II7417 g3659 g2293 g888[IL] 
II8874,N,N,1,5,6,II8874 g3884 II7417 g3659 g2293 g888[IL] 
g4653,N,N,1,6,7,g4653 II8874 g3884 II7417 g3659 g2293 g888[IL] 
II5407,N,N,1,7,8,II5407 g4653 II8874 g3884 II7417 g3659 g2293 g888[IL] 
g785,N,Y,1,11,8,g785 II5407 g4653 II8874 g3884 II7417 g3659 g2293 
g1000,Y,N,0,0,1,g1000 
g43,Y,N,0,0,1,g43 
II5528,N,N,1,1,2,II5528 g43 
g1685,N,N,1,2,3,g1685 II5528 g43 
g2816,N,N,1,3,4,g2816 g1685 II5528 g43 
II8452,N,N,1,4,5,II8452 g2816 g1685 II5528 g43 
g4444,N,N,1,5,6,g4444 II8452 g2816 g1685 II5528 g43 
II8966,N,N,1,6,7,II8966 g4444 II8452 g2816 g1685 II5528 g43 
g4689,N,N,1,7,8,g4689 II8966 g4444 II8452 g2816 g1685 II5528 g43 
g5529,N,N,1,11,8,g5529 g4689 II8966 g4444 II8452 g2816 g1685 II5528 
II10555,N,N,1,12,8,II10555 g5529 g4689 II8966 g4444 II8452 g2816 g1685 
g5868,N,N,1,13,8,g5868 II10555 g5529 g4689 II8966 g4444 II8452 g2816 
g6573,N,N,1,14,8,g6573 g5868 II10555 g5529 g4689 II8966 g4444 II8452 
g162[IL],Y,N,0,0,1,g162[IL] 
g1860,N,N,1,1,2,g1860 g162[IL] 
g1034[IL],Y,N,0,0,1,g1034[IL] 
g1789,N,N,1,1,2,g1789 g1034[IL] 
g3591,N,N,1,2,3,g3591 g1789 g1034[IL] 
g1[IL],Y,N,0,0,1,g1[IL] 
g1684,N,N,1,1,2,g1684 g1[IL] 
