CLUSTER ROOT NODE,CLUSTER SIZE
g2584,8
g3222,9
g3600,11
g4307,13
g4321,13
g4422,13
g4809,16
g5137,16
g5468,16
g5469,16
g5692,16
g6282,16
g6284,16
g6360,16
g6362,16
g6364,16
g6366,16
g6368,16
g6370,16
g6372,16
g6374,16
g6728,16
g1290,5
g4121,16
g4108,13
g4106,13
g4103,13
g1293,5
g4099,13
g4102,13
g4109,13
g4100,13
g4112,13
g4105,13
g4101,13
g4110,13
g4104,13
g4107,13
g4098,13
g4130[OL],14
g6823[OL],16
g6940[OL],16
g6102[OL],16
g4147[OL],14
g4841[OL],16
g6725[OL],16
g3232[OL],10
g4119[OL],16
g4141[OL],14
g6726[OL],16
g6507[OL],16
g6590[OL],16
g3231[OL],10
g5330[OL],16
g5147[OL],16
g4839[OL],16
g6105[OL],16
g5138[OL],16
g4122[OL],16
g6827[OL],16
g6745[OL],16
g6405[OL],16
g6729[OL],16
g6595[OL],16
g6826[OL],16
g4134[OL],14
g6599[OL],16
g4857[OL],16
g6406[OL],16
g5148[OL],16
g4117[OL],16
g6582[OL],16
g3229[OL],10
g5700[OL],16
g4136[OL],14
g4858[OL],16
g5876[OL],16
g3239[OL],10
g5698[OL],16
g5328[OL],16
g4133[OL],14
g4847[OL],16
g5877[OL],16
g6597[OL],16
g4120[OL],16
g3235[OL],10
g4137[OL],14
g6407[OL],16
g5470[OL],16
g6841[OL],16
g4149[OL],14
g6101[OL],16
g4844[OL],16
g4113[OL],16
g6504[OL],16
g3224[OL],10
g4855[OL],16
g4424[OL],16
g5582[OL],16
g6502[OL],16
g6107[OL],16
g5472[OL],16
g6602[OL],16
g5581[OL],16
g6587[OL],16
g4145[OL],14
g2585[OL],9
g4842[OL],16
g2586[OL],9
g1291[OL],6
g4118[OL],16
g3225[OL],10
g4853[OL],16
g4849[OL],16
g6512[OL],16
g3233[OL],10
g4851[OL],16
g4856[OL],16
g6854[OL],16
g1831[OL],7
g4843[OL],16
g6510[OL],16
g6591[OL],16
g4846[OL],16
g1288[OL],6
g5478[OL],16
g6840[OL],16
g6594[OL],16
g5580[OL],16
g6853[OL],16
g4840[OL],16
g4150[OL],14
g5490[OL],16
g6511[OL],16
g4142[OL],14
g4845[OL],16
g5694[OL],16
g6722[OL],16
g4139[OL],14
g5480[OL],16
g5697[OL],16
g6498[OL],16
g4126[OL],14
g5471[OL],16
g6505[OL],16
g6588[OL],16
g5475[OL],16
g4148[OL],14
g6501[OL],16
g6506[OL],16
g4135[OL],14
g5479[OL],16
g6824[OL],16
g3240[OL],10
g5476[OL],16
g3230[OL],10
g6721[OL],16
g3227[OL],10
g6925[OL],16
g5477[OL],16
g5489[OL],16
g4131[OL],14
g6727[OL],16
g4140[OL],14
g6842[OL],16
g4423[OL],16
g6723[OL],16
g6724[OL],16
g4132[OL],14
g6401[OL],16
g5491[OL],16
g4127[OL],14
g6278[OL],16
g6106[OL],16
g6744[OL],16
g6404[OL],16
g4138[OL],14
g3228[OL],10
g1289[OL],6
g4123[OL],16
g4658[OL],16
g5878[OL],16
g4125[OL],14
g4124[OL],16
g5874[OL],16
g6103[OL],16
g1294[OL],6
g1292[OL],6
g4115[OL],16
g6584[OL],16
g6596[OL],16
g3226[OL],10
g2587[OL],9
g4657[OL],16
g6589[OL],16
g3234[OL],10
g3238[OL],10
g6592[OL],16
g5473[OL],16
g4114[OL],16
g6800[OL],16
g5141[OL],16
g4854[OL],16
g6839[OL],16
g5699[OL],16
g3236[OL],10
g6601[OL],16
g5875[OL],16
g4425[OL],16
g5329[OL],16
g5695[OL],16
g6499[OL],16
g6825[OL],16
g5693[OL],16
g4850[OL],16
g3237[OL],10
g6497[OL],16
g6100[OL],16
g6509[OL],16
g4128[OL],14
g4116[OL],16
g6503[OL],16
g3241[OL],10
g6277[OL],16
g5139[OL],16
g6598[OL],16
g6600[OL],16
g4129[OL],14
g6593[OL],16
