CLUSTER ROOT NODE,CLUSTER SIZE
SO_19_,32
SO_18_,32
SO_17_,32
SO_16_,32
SO_15_,32
SO_14_,32
SO_13_,32
SO_12_,32
SO_11_,32
SO_10_,32
SO_9_,32
SO_8_,32
SO_7_,32
SO_6_,32
SO_5_,32
SO_4_,32
SO_3_,32
SO_2_,25
SO_1_,17
SO_0_,7
RD,7
WR,7
U3362[OL],30
U3386[OL],32
U4033[OL],32
U9556[OL],32
U4060[OL],32
U3977[OL],32
U9557[OL],32
U4031[OL],32
U4024[OL],32
U4026[OL],32
U3361[OL],32
U4046[OL],32
U9558[OL],32
U9559[OL],32
U4088[OL],32
U4066[OL],32
U3379[OL],32
U3363[OL],32
U3540[OL],32
U3517[OL],32
U4043[OL],32
U1674[OL],32
U3497[OL],32
U4036[OL],32
U3371[OL],32
U3374[OL],32
U3735[OL],32
U4004[OL],32
U3426[OL],32
U3614[OL],32
U4881[OL],32
U3358[OL],32
U9917[OL],32
U9916[OL],32
U9526[OL],32
U9527[OL],32
U9528[OL],32
U9529[OL],32
U9530[OL],32
U9531[OL],32
U9532[OL],32
U9533[OL],32
U9534[OL],32
U9535[OL],32
U9536[OL],32
U9537[OL],32
U9538[OL],32
U9539[OL],32
U9540[OL],32
U9541[OL],32
U9542[OL],32
U9543[OL],32
U9544[OL],32
U9545[OL],32
U9546[OL],32
U9547[OL],32
U9548[OL],32
U9549[OL],32
U9550[OL],32
U9551[OL],32
U9552[OL],32
U9553[OL],32
U9554[OL],32
U9555[OL],32
U9915[OL],32
U9914[OL],32
U9913[OL],32
U9912[OL],32
U9911[OL],32
U9910[OL],32
U9909[OL],32
U9908[OL],32
U9907[OL],32
U9906[OL],32
U9905[OL],32
U9904[OL],32
U9903[OL],32
U9902[OL],32
U9901[OL],32
U9900[OL],32
U9899[OL],32
U9898[OL],32
U9897[OL],32
U9896[OL],32
U9895[OL],32
U9894[OL],32
U4880[OL],32
U4879[OL],32
U4878[OL],32
U4877[OL],32
U4876[OL],32
U4875[OL],32
U4874[OL],32
U4873[OL],32
U4872[OL],32
U4871[OL],32
U9893[OL],32
U9892[OL],32
U9891[OL],32
U9890[OL],32
U9889[OL],32
U9888[OL],32
U9887[OL],32
U9886[OL],32
U9885[OL],32
U9884[OL],32
U9883[OL],32
U9882[OL],32
U9881[OL],32
U9880[OL],32
U9879[OL],32
U9878[OL],32
U9877[OL],32
U9876[OL],32
U9875[OL],32
U9874[OL],32
U9873[OL],32
U9872[OL],32
U4870[OL],32
U4869[OL],32
U4868[OL],32
U4867[OL],32
U4866[OL],32
U4865[OL],32
U4864[OL],32
U4863[OL],32
U4862[OL],32
U4861[OL],32
U1647[OL],32
U3683[OL],32
U3687[OL],32
U1719[OL],32
U9484[OL],32
U9481[OL],32
U9491[OL],32
U1720[OL],32
U9476[OL],32
U9485[OL],32
U9473[OL],32
U1718[OL],32
U9478[OL],32
