NODE,PI?,PO?,NODE DELAY,NODE LABEL,CLUSTER SIZE
g1460[IL],Y,N,0,0,1
II5989,N,N,1,1,2
g2246,N,N,1,2,3
II6553,N,N,1,3,4
g2825,N,N,1,4,5
II7302,N,N,1,5,6
g3833,N,N,1,6,7
II5353,N,N,1,7,8
g206,N,Y,1,8,9
II6646,N,N,1,3,4
g2916,N,N,1,4,5
II7314,N,N,1,5,6
g3837,N,N,1,6,7
II5356,N,N,1,7,8
g291,N,Y,1,8,9
II6663,N,N,1,3,4
g2927,N,N,1,4,5
II7320,N,N,1,5,6
g3839,N,N,1,6,7
II5359,N,N,1,7,8
g372,N,Y,1,8,9
II6686,N,N,1,3,4
g2940,N,N,1,4,5
II7326,N,N,1,5,6
g3841,N,N,1,6,7
II5362,N,N,1,7,8
g453,N,Y,1,8,9
II6695,N,N,1,3,4
g2947,N,N,1,4,5
II7332,N,N,1,5,6
g3843,N,N,1,6,7
II5365,N,N,1,7,8
g534,N,Y,1,8,9
II6673,N,N,1,3,4
g2933,N,N,1,4,5
II7362,N,N,1,5,6
g3853,N,N,1,6,7
II5368,N,N,1,7,8
g594,N,Y,1,8,9
g888[IL],Y,N,0,0,1
g2293,N,N,1,1,2
g3659,N,N,1,2,3
II7417,N,N,1,3,4
g3884,N,N,1,4,5
II8874,N,N,1,5,6
g4653,N,N,1,6,7
II5407,N,N,1,7,8
g785,N,Y,1,8,9
g1000,Y,N,0,0,1
g43,Y,N,0,0,1
II5528,N,N,1,1,2
g1685,N,N,1,2,3
g2816,N,N,1,3,4
II8452,N,N,1,4,5
g4444,N,N,1,5,6
II8966,N,N,1,6,7
g4689,N,N,1,7,8
g5529,N,N,1,8,9
II10555,N,N,1,9,10
g5868,N,N,1,10,11
g6573,N,N,1,11,12
g162[IL],Y,N,0,0,1
g1860,N,N,1,1,2
g1034[IL],Y,N,0,0,1
g1789,N,N,1,1,2
g3591,N,N,1,2,3
g1[IL],Y,N,0,0,1
g1684,N,N,1,1,2
II6509,N,N,1,2,3
g2767,N,N,1,3,4
II7911,N,N,1,4,5
g4096,N,N,1,5,6
II8932,N,N,1,6,7
g4677,N,N,1,7,8
g5335,N,N,1,8,9
g6198,N,N,1,9,10
g6639,N,N,1,10,11
g971[IL],Y,N,0,0,1
g962,Y,N,0,0,1
g972[IL],Y,N,0,0,1
g969[IL],Y,N,0,0,1
g970[IL],Y,N,0,0,1
g966[IL],Y,N,0,0,1
g963[IL],Y,N,0,0,1
II5757,N,N,1,1,5
g1872,N,N,1,2,9
g7071,N,N,1,11,21
g6745,N,N,1,10,20
g6028,N,N,1,9,10
g6980,N,N,1,11,31
g7191,N,N,1,12,32
g976[IL],Y,N,0,0,1
g1600,N,N,1,1,2
g7406,N,N,1,13,32
g7202,N,N,1,12,32
g7421,N,N,1,13,32
g973[IL],Y,N,0,0,1
g1597,N,N,1,1,2
g7566,N,N,1,14,32
g5836,N,N,1,9,10
g979[IL],Y,N,0,0,1
II5781,N,N,1,1,2
g1901,N,N,1,2,3
g984[IL],Y,N,0,0,1
g1788,N,N,1,1,2
g6664,N,N,1,10,16
II6970,N,N,1,3,10
g3492,N,N,1,4,11
II14302,N,N,1,11,28
g8009,N,N,1,15,32
g8625,N,N,1,16,32
II14848,N,N,1,17,32
g8684,N,N,1,19,32
II15184,N,N,1,20,32
g8866,N,N,1,21,32
II5410,N,N,1,22,32
g1006,N,Y,1,23,32
g6110,N,N,1,9,10
g1013[IL],Y,N,0,0,1
g1865,N,N,1,1,2
II14219,N,N,1,15,32
g7784,N,N,1,16,32
g1864,N,N,1,1,2
g8630,N,N,1,17,32
II14851,N,N,1,19,32
g8685,N,N,1,20,32
II15190,N,N,1,21,32
g8868,N,N,1,22,32
II5416,N,N,1,23,32
g1015,N,Y,1,24,32
g1029[IL],Y,N,0,0,1
II5471,N,N,1,1,2
g1603,N,N,1,2,3
II5419,N,N,1,3,4
g1017,N,Y,1,4,5
g1245[IL],Y,N,0,0,1
II5425,N,N,1,1,2
g1246,N,Y,1,2,3
g1409[IL],Y,N,0,0,1
II5568,N,N,1,1,2
g1724,N,Y,1,2,3
g891[IL],Y,N,0,0,1
II5633,N,N,1,1,2
g1783,N,Y,1,2,3
g921[IL],Y,N,0,0,1
II5654,N,N,1,1,2
g1798,N,Y,1,2,3
g916[IL],Y,N,0,0,1
II5664,N,N,1,1,2
g1804,N,Y,1,2,3
g911[IL],Y,N,0,0,1
II5676,N,N,1,1,2
g1810,N,Y,1,2,3
g906[IL],Y,N,0,0,1
II5689,N,N,1,1,2
g1817,N,Y,1,2,3
g901[IL],Y,N,0,0,1
II5706,N,N,1,1,2
g1824,N,Y,1,2,3
g896[IL],Y,N,0,0,1
II5715,N,N,1,1,2
g1829,N,Y,1,2,3
II5751,N,N,1,1,2
g1870,N,Y,1,2,3
II5754,N,N,1,1,2
g1871,N,Y,1,2,3
g1240[IL],Y,N,0,0,1
II5772,N,N,1,1,2
g1894,N,Y,1,2,3
g1524[IL],Y,N,0,0,1
II5789,N,N,1,1,2
g1911,N,Y,1,2,3
g1081[IL],Y,N,0,0,1
II5817,N,N,1,1,2
g1944,N,Y,1,2,3
g1254[IL],Y,N,0,0,1
II5766,N,N,1,1,2
g1886,N,N,1,2,3
II6457,N,N,1,3,4
g2662,N,Y,1,4,5
g576[IL],Y,N,0,0,1
II6574,N,N,1,1,2
g2844,N,Y,1,2,3
g1084[IL],Y,N,0,0,1
II5475,N,N,1,1,2
g1612,N,N,1,2,3
II6608,N,N,1,3,4
g2888,N,Y,1,4,5
II6805,N,N,1,3,4
g3077,N,Y,1,4,5
g287[IL],Y,N,0,0,1
II6834,N,N,1,1,2
g3096,N,Y,1,2,3
g368[IL],Y,N,0,0,1
II6849,N,N,1,1,2
g3130,N,Y,1,2,3
g449[IL],Y,N,0,0,1
II6856,N,N,1,1,2
g3159,N,Y,1,2,3
g530[IL],Y,N,0,0,1
II6868,N,N,1,1,2
g3191,N,Y,1,2,3
g1461[IL],Y,N,0,0,1
II5435,N,N,1,1,2
g1558,N,N,1,2,3
II6680,N,N,1,3,4
g2936,N,N,1,4,5
II7290,N,N,1,5,6
g3829,N,Y,1,6,7
II6959,N,N,1,3,4
g3461,N,N,1,4,5
II7380,N,N,1,5,6
g3859,N,Y,1,6,7
II6963,N,N,1,3,4
g3465,N,N,1,4,5
II7383,N,N,1,5,6
g3860,N,Y,1,6,7
g1073[IL],Y,N,0,0,1
g1611,N,N,1,1,2
g2655,N,N,1,2,3
II8205,N,N,1,3,4
g4267,N,Y,1,4,5
g878[IL],Y,N,0,0,1
II8291,N,N,1,1,2
g4316,N,Y,1,2,3
g1160[IL],Y,N,0,0,1
II8351,N,N,1,1,2
g4370,N,Y,1,2,3
g1163[IL],Y,N,0,0,1
II8354,N,N,1,1,2
g4371,N,Y,1,2,3
g1182[IL],Y,N,0,0,1
II8357,N,N,1,1,2
g4372,N,Y,1,2,3
g1186[IL],Y,N,0,0,1
II8360,N,N,1,1,2
g4373,N,Y,1,2,3
g936[IL],Y,N,0,0,1
g2555,N,N,1,1,2
g940[IL],Y,N,0,0,1
g2557,N,N,1,1,2
II6538,N,N,1,2,5
II6539,N,N,1,3,6
II6540,N,N,1,3,6
g2801,N,N,1,4,8
II8268,N,N,1,5,9
g4303,N,N,1,6,10
II8880,N,N,1,7,11
g4655,N,Y,1,8,12
g1375[IL],Y,N,0,0,1
g1371[IL],Y,N,0,0,1
g1372[IL],Y,N,0,0,1
g1373[IL],Y,N,0,0,1
g1374[IL],Y,N,0,0,1
g2229,N,N,1,1,5
g1367[IL],Y,N,0,0,1
g1368[IL],Y,N,0,0,1
g1369[IL],Y,N,0,0,1
g1370[IL],Y,N,0,0,1
g2213,N,N,1,1,5
g1363[IL],Y,N,0,0,1
g1364[IL],Y,N,0,0,1
g1365[IL],Y,N,0,0,1
g1366[IL],Y,N,0,0,1
