NODE,PI?,PO?,NODE DELAY,NODE LABEL,CLUSTER SIZE,CLUSTER CONTENTS
g89,Y,N,0,0,1,g89 
g102,Y,N,0,0,1,g102 
g1064,N,N,1,1,2,g1064 g102 
g1802,N,N,1,2,4,g1802 g1064 g102 g89 
I3468,N,N,1,3,5,I3468 g1802 g1064 g102 g89 
g2316,N,N,1,4,6,g2316 I3468 g1802 g1064 g102 g89 
I3705,N,N,1,5,7,I3705 g2316 I3468 g1802 g1064 g102 g89 
g2584,N,Y,1,6,8,g2584 I3705 g2316 I3468 g1802 g1064 g102 g89 
g705,Y,N,0,0,1,g705 
I2134,N,N,1,1,2,I2134 g705 
g1108,N,N,1,2,3,g1108 I2134 g705 
g1738,N,N,1,3,4,g1738 g1108 I2134 g705 
g2040,N,N,1,4,5,g2040 g1738 g1108 I2134 g705 
I4133,N,N,1,5,6,I4133 g2040 g1738 g1108 I2134 g705 
g2945,N,N,1,6,7,g2945 I4133 g2040 g1738 g1108 I2134 g705 
I4465,N,N,1,7,8,I4465 g2945 I4133 g2040 g1738 g1108 I2134 g705 
g3222,N,Y,1,11,8,g3222 I4465 g2945 I4133 g2040 g1738 g1108 I2134 
g43[IL],Y,N,0,0,1,g43[IL] 
I2221,N,N,1,1,2,I2221 g43[IL] 
g1220,N,N,1,2,3,g1220 I2221 g43[IL] 
I2724,N,N,1,3,4,I2724 g1220 I2221 g43[IL] 
g1724,N,N,1,4,5,g1724 I2724 g1220 I2221 g43[IL] 
I3465,N,N,1,5,6,I3465 g1724 I2724 g1220 I2221 g43[IL] 
g2315,N,N,1,6,7,g2315 I3465 g1724 I2724 g1220 I2221 g43[IL] 
I4023,N,N,1,7,8,I4023 g2315 I3465 g1724 I2724 g1220 I2221 g43[IL] 
g2814,N,N,1,11,8,g2814 I4023 g2315 I3465 g1724 I2724 g1220 I2221 
I4791,N,N,1,12,8,I4791 g2814 I4023 g2315 I3465 g1724 I2724 g1220 
g3600,N,Y,1,13,8,g3600 I4791 g2814 I4023 g2315 I3465 g1724 I2724 
g485[IL],Y,N,0,0,1,g485[IL] 
g1054,N,N,1,1,2,g1054 g485[IL] 
g1593,N,N,1,2,3,g1593 g1054 g485[IL] 
I3531,N,N,1,3,4,I3531 g1593 g1054 g485[IL] 
g2390,N,N,1,4,5,g2390 I3531 g1593 g1054 g485[IL] 
I4166,N,N,1,5,6,I4166 g2390 I3531 g1593 g1054 g485[IL] 
g2967,N,N,1,6,7,g2967 I4166 g2390 I3531 g1593 g1054 g485[IL] 
I4799,N,N,1,7,8,I4799 g2967 I4166 g2390 I3531 g1593 g1054 g485[IL] 
g3604,N,N,1,11,8,g3604 I4799 g2967 I4166 g2390 I3531 g1593 g1054 
I5006,N,N,1,12,8,I5006 g3604 I4799 g2967 I4166 g2390 I3531 g1593 
g3807,N,N,1,13,8,g3807 I5006 g3604 I4799 g2967 I4166 g2390 I3531 
I5774,N,N,1,14,8,I5774 g3807 I5006 g3604 I4799 g2967 I4166 g2390 
g4307,N,Y,1,15,8,g4307 I5774 g3807 I5006 g3604 I4799 g2967 I4166 
g668[IL],Y,N,0,0,1,g668[IL] 
g1052,N,N,1,1,2,g1052 g668[IL] 
g1586,N,N,1,2,3,g1586 g1052 g668[IL] 
I3546,N,N,1,3,4,I3546 g1586 g1052 g668[IL] 
g2408,N,N,1,4,5,g2408 I3546 g1586 g1052 g668[IL] 
I4173,N,N,1,5,6,I4173 g2408 I3546 g1586 g1052 g668[IL] 
g2974,N,N,1,6,7,g2974 I4173 g2408 I3546 g1586 g1052 g668[IL] 
I4809,N,N,1,7,8,I4809 g2974 I4173 g2408 I3546 g1586 g1052 g668[IL] 
g3612,N,N,1,11,8,g3612 I4809 g2974 I4173 g2408 I3546 g1586 g1052 
I5002,N,N,1,12,8,I5002 g3612 I4809 g2974 I4173 g2408 I3546 g1586 
g3803,N,N,1,13,8,g3803 I5002 g3612 I4809 g2974 I4173 g2408 I3546 
I5790,N,N,1,14,8,I5790 g3803 I5002 g3612 I4809 g2974 I4173 g2408 
g4321,N,Y,1,15,8,g4321 I5790 g3803 I5002 g3612 I4809 g2974 I4173 
g564,Y,N,0,0,1,g564 
g838,N,N,1,1,2,g838 g564 
g1256,N,N,1,2,3,g1256 g838 g564 
I2904,N,N,1,3,4,I2904 g1256 g838 g564 
g1830,N,N,1,4,5,g1830 I2904 g1256 g838 g564 
g2583,N,N,1,5,6,g2583 g1830 I2904 g1256 g838 g564 
I4468,N,N,1,6,7,I4468 g2583 g1830 I2904 g1256 g838 g564 
g3223,N,N,1,7,8,g3223 I4468 g2583 g1830 I2904 g1256 g838 g564 
I4903,N,N,1,11,8,I4903 g3223 I4468 g2583 g1830 I2904 g1256 g838 
g3723,N,N,1,12,8,g3723 I4903 g3223 I4468 g2583 g1830 I2904 g1256 
I5415,N,N,1,13,8,I5415 g3723 I4903 g3223 I4468 g2583 g1830 I2904 
g4111,N,N,1,14,8,g4111 I5415 g3723 I4903 g3223 I4468 g2583 g1830 
g4422,N,Y,1,15,8,g4422 g4111 I5415 g3723 I4903 g3223 I4468 g2583 
g486[IL],Y,N,0,0,1,g486[IL] 
g496[IL],Y,N,0,0,1,g496[IL] 
g943,N,N,1,1,2,g943 g496[IL] 
g1418,N,N,1,2,4,g1418 g943 g496[IL] g486[IL] 
g489[IL],Y,N,0,0,1,g489[IL] 
g492[IL],Y,N,0,0,1,g492[IL] 
g1048,N,N,1,1,2,g1048 g492[IL] 
g1449,N,N,1,2,4,g1449 g1048 g492[IL] g489[IL] 
g2433,N,N,1,5,8,g2433 g1449 g1048 g492[IL] g1418 g943 g496[IL] g489[IL] 
g2869,N,N,1,6,8,g2869 g2433 g1449 g1048 g492[IL] g1418 g943 g496[IL] 
g3486,N,N,1,8,8,g3486 g2869 g2433 g1449 g1048 g492[IL] g1418 g943 
g4011,N,N,1,9,8,g4011 g3486 g2869 g2433 g1449 g1048 g492[IL] g1418 
g4343,N,N,1,10,8,g4343 g4011 g3486 g2869 g2433 g1449 g1048 g492[IL] 
I6170,N,N,1,11,8,I6170 g4343 g4011 g3486 g2869 g2433 g1449 g1048 
g4603,N,N,1,12,8,g4603 I6170 g4343 g4011 g3486 g2869 g2433 g1449 
I6485,N,N,1,13,8,I6485 g4603 I6170 g4343 g4011 g3486 g2869 g2433 
g4809,N,Y,1,16,8,g4809 I6485 g4603 I6170 g4343 g4011 g3486 g2869 
I4794,N,N,1,12,8,I4794 g2814 I4023 g2315 I3465 g1724 I2724 g1220 
g3601,N,N,1,13,8,g3601 I4794 g2814 I4023 g2315 I3465 g1724 I2724 
g4010,N,N,1,14,8,g4010 g3601 I4794 g2814 I4023 g2315 I3465 g1724 
g4350,N,N,1,15,8,g4350 g4010 g3601 I4794 g2814 I4023 g2315 I3465 
I6231,N,N,1,16,8,I6231 g4350 g4010 g3601 I4794 g2814 I4023 g2315 
g4644,N,N,1,17,8,g4644 I6231 g4350 g4010 g3601 I4794 g2814 I4023 
I6507,N,N,1,18,8,I6507 g4644 I6231 g4350 g4010 g3601 I4794 g2814 
g4823,N,N,1,22,8,g4823 I6507 g4644 I6231 g4350 g4010 g3601 I4794 
I6599,N,N,1,23,8,I6599 g4823 I6507 g4644 I6231 g4350 g4010 g3601 
g4871,N,N,1,24,8,g4871 I6599 g4823 I6507 g4644 I6231 g4350 g4010 
I6789,N,N,1,25,8,I6789 g4871 I6599 g4823 I6507 g4644 I6231 g4350 
g5137,N,Y,1,26,8,g5137 I6789 g4871 I6599 g4823 I6507 g4644 I6231 
I5777,N,N,1,14,8,I5777 g3807 I5006 g3604 I4799 g2967 I4166 g2390 
g4308,N,N,1,15,8,g4308 I5777 g3807 I5006 g3604 I4799 g2967 I4166 
g4614,N,N,1,16,8,g4614 g4308 I5777 g3807 I5006 g3604 I4799 g2967 
g4822,N,N,1,17,8,g4822 g4614 g4308 I5777 g3807 I5006 g3604 I4799 
I6783,N,N,1,18,8,I6783 g4822 g4614 g4308 I5777 g3807 I5006 g3604 
g5135,N,N,1,22,8,g5135 I6783 g4822 g4614 g4308 I5777 g3807 I5006 
I6972,N,N,1,23,8,I6972 g5135 I6783 g4822 g4614 g4308 I5777 g3807 
g5314,N,N,1,24,8,g5314 I6972 g5135 I6783 g4822 g4614 g4308 I5777 
I7007,N,N,1,25,8,I7007 g5314 I6972 g5135 I6783 g4822 g4614 g4308 
g5355,N,N,1,26,8,g5355 I7007 g5314 I6972 g5135 I6783 g4822 g4614 
I7150,N,N,1,27,8,I7150 g5355 I7007 g5314 I6972 g5135 I6783 g4822 
g5468,N,Y,1,28,8,g5468 I7150 g5355 I7007 g5314 I6972 g5135 I6783 
I5793,N,N,1,14,8,I5793 g3803 I5002 g3612 I4809 g2974 I4173 g2408 
g4322,N,N,1,15,8,g4322 I5793 g3803 I5002 g3612 I4809 g2974 I4173 
g4615,N,N,1,16,8,g4615 g4322 I5793 g3803 I5002 g3612 I4809 g2974 
g4824,N,N,1,17,8,g4824 g4615 g4322 I5793 g3803 I5002 g3612 I4809 
I6786,N,N,1,18,8,I6786 g4824 g4615 g4322 I5793 g3803 I5002 g3612 
