NODE,PI?,PO?,NODE DELAY,NODE LABEL
P1_ADDR_REG_19_[IL],Y,N,0,0,
U9669,N,N,1,0,
P2_ADDR_REG_19_[IL],Y,N,0,0,
U2252,N,N,1,0,
U11478,N,N,1,0,
P2_ADDR_REG_18_[IL],Y,N,0,0,
P2_ADDR_REG_17_[IL],Y,N,0,0,
P2_ADDR_REG_16_[IL],Y,N,0,0,
P2_ADDR_REG_15_[IL],Y,N,0,0,
P2_ADDR_REG_14_[IL],Y,N,0,0,
P2_ADDR_REG_13_[IL],Y,N,0,0,
P2_ADDR_REG_12_[IL],Y,N,0,0,
P2_ADDR_REG_11_[IL],Y,N,0,0,
P2_ADDR_REG_10_[IL],Y,N,0,0,
P2_ADDR_REG_9_[IL],Y,N,0,0,
P2_ADDR_REG_8_[IL],Y,N,0,0,
P2_ADDR_REG_7_[IL],Y,N,0,0,
P2_ADDR_REG_6_[IL],Y,N,0,0,
P2_ADDR_REG_5_[IL],Y,N,0,0,
P2_ADDR_REG_4_[IL],Y,N,0,0,
P2_ADDR_REG_3_[IL],Y,N,0,0,
P2_ADDR_REG_2_[IL],Y,N,0,0,
P1_ADDR_REG_1_[IL],Y,N,0,0,
P1_ADDR_REG_0_[IL],Y,N,0,0,
P2_ADDR_REG_0_[IL],Y,N,0,0,
U9616,N,N,1,0,
U10000,N,N,1,0,
U9642,N,N,1,0,
P2_ADDR_REG_1_[IL],Y,N,0,0,
U9617,N,N,1,0,
U10001,N,N,1,0,
U10002,N,N,1,0,
U9618,N,N,1,1,
U10006,N,N,1,1,
P1_ADDR_REG_2_[IL],Y,N,0,0,
U10003,N,N,1,1,
U9620,N,N,1,0,
U10004,N,N,1,1,
U10005,N,N,1,1,
U9621,N,N,1,1,
U10010,N,N,1,1,
P1_ADDR_REG_3_[IL],Y,N,0,0,
U10007,N,N,1,1,
U9623,N,N,1,0,
U10008,N,N,1,1,
U10009,N,N,1,2,
U9624,N,N,1,2,
U10014,N,N,1,2,
P1_ADDR_REG_4_[IL],Y,N,0,0,
U10011,N,N,1,2,
U9626,N,N,1,0,
U10012,N,N,1,2,
U10013,N,N,1,2,
U9627,N,N,1,2,
U10018,N,N,1,2,
P1_ADDR_REG_5_[IL],Y,N,0,0,
U10015,N,N,1,2,
U9629,N,N,1,0,
U10016,N,N,1,3,
U10017,N,N,1,3,
U9630,N,N,1,3,
U10022,N,N,1,3,
P1_ADDR_REG_6_[IL],Y,N,0,0,
U10019,N,N,1,3,
U9632,N,N,1,0,
U10020,N,N,1,3,
U10021,N,N,1,3,
U9633,N,N,1,3,
U10026,N,N,1,4,
P1_ADDR_REG_7_[IL],Y,N,0,0,
U10023,N,N,1,4,
U9635,N,N,1,0,
U10024,N,N,1,4,
U10025,N,N,1,4,
U9636,N,N,1,4,
U10030,N,N,1,4,
P1_ADDR_REG_8_[IL],Y,N,0,0,
U10027,N,N,1,4,
U9638,N,N,1,0,
U10028,N,N,1,4,
U10029,N,N,1,4,
U9641,N,N,1,5,
U10034,N,N,1,5,
P1_ADDR_REG_9_[IL],Y,N,0,0,
U10031,N,N,1,5,
U9640,N,N,1,0,
U10032,N,N,1,5,
U10033,N,N,1,5,
U9643,N,N,1,5,
U10038,N,N,1,5,
P1_ADDR_REG_10_[IL],Y,N,0,0,
U10035,N,N,1,5,
U9645,N,N,1,0,
U10036,N,N,1,5,
U10037,N,N,1,6,
U9646,N,N,1,6,
U10042,N,N,1,6,
P1_ADDR_REG_11_[IL],Y,N,0,0,
U10039,N,N,1,6,
U9648,N,N,1,0,
U10040,N,N,1,6,
U10041,N,N,1,6,
U9649,N,N,1,6,
U10046,N,N,1,6,
P1_ADDR_REG_12_[IL],Y,N,0,0,
U10043,N,N,1,6,
U9651,N,N,1,0,
U10044,N,N,1,7,
U10045,N,N,1,7,
U9652,N,N,1,7,
U10050,N,N,1,7,
P1_ADDR_REG_13_[IL],Y,N,0,0,
U10047,N,N,1,7,
U9654,N,N,1,0,
U10048,N,N,1,7,
U10049,N,N,1,7,
U9655,N,N,1,7,
U10054,N,N,1,8,
P1_ADDR_REG_14_[IL],Y,N,0,0,
U10051,N,N,1,8,
U9657,N,N,1,0,
U10052,N,N,1,8,
U10053,N,N,1,8,
U9658,N,N,1,8,
U10058,N,N,1,8,
P1_ADDR_REG_15_[IL],Y,N,0,0,
U10055,N,N,1,8,
U9660,N,N,1,0,
U10056,N,N,1,8,
U10057,N,N,1,8,
U9661,N,N,1,9,
U10062,N,N,1,9,
P1_ADDR_REG_16_[IL],Y,N,0,0,
U10059,N,N,1,9,
U9663,N,N,1,0,
U10060,N,N,1,9,
U10061,N,N,1,9,
U9664,N,N,1,9,
U10066,N,N,1,9,
P1_ADDR_REG_17_[IL],Y,N,0,0,
U10063,N,N,1,9,
U9666,N,N,1,0,
U10064,N,N,1,9,
U10065,N,N,1,10,
U9668,N,N,1,10,
U10074,N,N,1,10,
P1_ADDR_REG_18_[IL],Y,N,0,0,
U10067,N,N,1,10,
U9667,N,N,1,0,
U10072,N,N,1,10,
U10073,N,N,1,10,
U10075,N,N,1,10,
U10070,N,N,1,10,
U11477,N,N,1,0,
U10068,N,N,1,10,
U9670,N,N,1,0,
U10069,N,N,1,10,
U10071,N,N,1,10,
