NODE,PI?,PO?,NODE DELAY,NODE LABEL
g1460[IL],Y,N,0,0,
II5989,N,N,1,0,
g2246,N,N,1,0,
II6553,N,N,1,0,
g2825,N,N,1,0,
II7302,N,N,1,0,
g3833,N,N,1,0,
II5353,N,N,1,0,
g206,N,Y,1,1,
II6646,N,N,1,0,
g2916,N,N,1,0,
II7314,N,N,1,0,
g3837,N,N,1,0,
II5356,N,N,1,0,
g291,N,Y,1,1,
II6663,N,N,1,0,
g2927,N,N,1,0,
II7320,N,N,1,0,
g3839,N,N,1,0,
II5359,N,N,1,0,
g372,N,Y,1,1,
II6686,N,N,1,0,
g2940,N,N,1,0,
II7326,N,N,1,0,
g3841,N,N,1,0,
II5362,N,N,1,0,
g453,N,Y,1,1,
II6695,N,N,1,0,
g2947,N,N,1,0,
II7332,N,N,1,0,
g3843,N,N,1,0,
II5365,N,N,1,0,
g534,N,Y,1,1,
II6673,N,N,1,0,
g2933,N,N,1,0,
II7362,N,N,1,0,
g3853,N,N,1,0,
II5368,N,N,1,0,
g594,N,Y,1,1,
g888[IL],Y,N,0,0,
g2293,N,N,1,0,
g3659,N,N,1,0,
II7417,N,N,1,0,
g3884,N,N,1,0,
II8874,N,N,1,0,
g4653,N,N,1,0,
II5407,N,N,1,0,
g785,N,Y,1,1,
g1000,Y,N,0,0,
g43,Y,N,0,0,
II5528,N,N,1,0,
g1685,N,N,1,0,
g2816,N,N,1,0,
II8452,N,N,1,0,
g4444,N,N,1,0,
II8966,N,N,1,0,
g4689,N,N,1,0,
g5529,N,N,1,1,
II10555,N,N,1,1,
g5868,N,N,1,1,
g6573,N,N,1,1,
g162[IL],Y,N,0,0,
g1860,N,N,1,0,
g1034[IL],Y,N,0,0,
g1789,N,N,1,0,
g3591,N,N,1,0,
g1[IL],Y,N,0,0,
g1684,N,N,1,0,
II6509,N,N,1,0,
g2767,N,N,1,0,
II7911,N,N,1,0,
g4096,N,N,1,0,
II8932,N,N,1,0,
g4677,N,N,1,0,
g5335,N,N,1,1,
g6198,N,N,1,1,
g6639,N,N,1,1,
g971[IL],Y,N,0,0,
g962,Y,N,0,0,
g972[IL],Y,N,0,0,
g969[IL],Y,N,0,0,
g970[IL],Y,N,0,0,
g966[IL],Y,N,0,0,
g963[IL],Y,N,0,0,
II5757,N,N,1,0,
g1872,N,N,1,1,
g7071,N,N,1,1,
g6745,N,N,1,1,
g6028,N,N,1,1,
g6980,N,N,1,1,
g7191,N,N,1,2,
g976[IL],Y,N,0,0,
g1600,N,N,1,0,
g7406,N,N,1,2,
g7202,N,N,1,1,
g7421,N,N,1,2,
g973[IL],Y,N,0,0,
g1597,N,N,1,0,
g7566,N,N,1,2,
g5836,N,N,1,1,
g979[IL],Y,N,0,0,
II5781,N,N,1,0,
g1901,N,N,1,0,
g984[IL],Y,N,0,0,
g1788,N,N,1,0,
g6664,N,N,1,1,
II6970,N,N,1,1,
g3492,N,N,1,1,
II14302,N,N,1,1,
g8009,N,N,1,2,
g8625,N,N,1,2,
II14848,N,N,1,2,
g8684,N,N,1,2,
II15184,N,N,1,3,
g8866,N,N,1,3,
II5410,N,N,1,3,
g1006,N,Y,1,3,
g6110,N,N,1,1,
g1013[IL],Y,N,0,0,
g1865,N,N,1,0,
II14219,N,N,1,2,
g7784,N,N,1,2,
g1864,N,N,1,0,
g8630,N,N,1,2,
II14851,N,N,1,2,
g8685,N,N,1,3,
II15190,N,N,1,3,
g8868,N,N,1,3,
II5416,N,N,1,3,
g1015,N,Y,1,3,
g1029[IL],Y,N,0,0,
II5471,N,N,1,0,
g1603,N,N,1,0,
II5419,N,N,1,0,
g1017,N,Y,1,0,
g1245[IL],Y,N,0,0,
II5425,N,N,1,0,
g1246,N,Y,1,0,
g1409[IL],Y,N,0,0,
II5568,N,N,1,0,
g1724,N,Y,1,0,
g891[IL],Y,N,0,0,
II5633,N,N,1,0,
g1783,N,Y,1,0,
g921[IL],Y,N,0,0,
II5654,N,N,1,0,
g1798,N,Y,1,0,
g916[IL],Y,N,0,0,
II5664,N,N,1,0,
g1804,N,Y,1,0,
g911[IL],Y,N,0,0,
II5676,N,N,1,0,
g1810,N,Y,1,0,
g906[IL],Y,N,0,0,
II5689,N,N,1,0,
g1817,N,Y,1,0,
g901[IL],Y,N,0,0,
II5706,N,N,1,0,
g1824,N,Y,1,0,
g896[IL],Y,N,0,0,
II5715,N,N,1,0,
g1829,N,Y,1,0,
II5751,N,N,1,0,
g1870,N,Y,1,0,
II5754,N,N,1,0,
g1871,N,Y,1,0,
g1240[IL],Y,N,0,0,
II5772,N,N,1,0,
g1894,N,Y,1,0,
g1524[IL],Y,N,0,0,
II5789,N,N,1,0,
g1911,N,Y,1,0,
g1081[IL],Y,N,0,0,
II5817,N,N,1,0,
g1944,N,Y,1,0,
g1254[IL],Y,N,0,0,
II5766,N,N,1,0,
g1886,N,N,1,0,
II6457,N,N,1,0,
g2662,N,Y,1,0,
g576[IL],Y,N,0,0,
II6574,N,N,1,0,
g2844,N,Y,1,0,
g1084[IL],Y,N,0,0,
II5475,N,N,1,0,
g1612,N,N,1,0,
II6608,N,N,1,0,
