CLUSTER ROOT NODE,CLUSTER SIZE,CLUSTER CONTENTS
g2584,8,g89 g102 g1064 g1802 I3468 g2316 I3705 g2584 
g3222,1,g3222 
I4465,8,g705 I2134 g1108 g1738 g2040 I4133 g2945 I4465 
g3600,3,g2814 I4791 g3600 
I4023,8,g43[IL] I2221 g1220 I2724 g1724 I3465 g2315 I4023 
g4307,5,g3604 I5006 g3807 I5774 g4307 
I4799,8,g485[IL] g1054 g1593 I3531 g2390 I4166 g2967 I4799 
g4321,5,g3612 I5002 g3803 I5790 g4321 
I4809,8,g668[IL] g1052 g1586 I3546 g2408 I4173 g2974 I4809 
g4422,5,I4903 g3723 I5415 g4111 g4422 
g3223,8,g564 g838 g1256 I2904 g1830 g2583 I4468 g3223 
g4809,1,g4809 
I6485,8,g2433 g2869 g3486 g4011 g4343 I6170 g4603 I6485 
g1418,4,g486[IL] g496[IL] g943 g1418 
g1449,4,g489[IL] g492[IL] g1048 g1449 
g5137,5,g4823 I6599 g4871 I6789 g5137 
I6507,8,g2814 I4794 g3601 g4010 g4350 I6231 g4644 I6507 
g5468,7,g5135 I6972 g5314 I7007 g5355 I7150 g5468 
I6783,8,g3604 I5006 g3807 I5777 g4308 g4614 g4822 I6783 
g5469,7,g5136 I6976 g5316 I7012 g5358 I7153 g5469 
I6786,8,g3612 I5002 g3803 I5793 g4322 g4615 g4824 I6786 
g5692,2,I7451 g5692 
g5597,8,g4810 g5116 g5315 g5452 I7318 g5566 I7361 g5597 
I6488,8,g2433 g2869 g3486 g4011 g4343 I6170 g4603 I6488 
g4612,6,g2433 g2869 g3486 g4011 g4320 g4612 
g6282,3,g6137 I7996 g6282 
I7859,8,g5060 g5318 g5385 g5537 g5645 g5770 g6032 I7859 
g3992,2,g3559 g3992 
g1555,4,g675[IL] g1063 I2521 g1555 
g2603,8,g22 g896 I2306 g1317 I3140 g2031 I3733 g2603 
g676[IL],1,g676[IL] 
g2608,8,g41 g897 I2312 g1319 I3144 g2035 I3746 g2608 
g4819,8,I6026 I6027 I6028 g4504 I6499 I6500 I6501 g4819 
g4223,4,I5657 I5658 I5659 g4223 
g3983,6,g3705 g3710 I5269 I5270 I5271 g3983 
g3014,8,g1[IL] I2137 g1109 g1710 I3288 g2163 I4217 g3014 
g3029,8,g2[IL] I2143 g1111 g1720 I3294 g2165 I4240 g3029 
g3979,6,g3714 g3719 I5257 I5258 I5259 g3979 
g3041,8,g6[IL] I2147 g1113 g1725 I3298 g2169 I4258 g3041 
g3053,8,g10[IL] I2150 g1114 g1730 I3301 g2170 I4276 g3053 
g4221,4,I5647 I5648 I5649 g4221 
g3974,6,g3242 g3247 I5242 I5243 I5244 g3974 
g3083,8,g14[IL] I2154 g1116 g1740 I3304 g2171 I4318 g3083 
g2973,8,g18[IL] I2128 g1106 g1695 I3278 g2157 I4170 g2973 
g3968,6,g3259 g3263 I5226 I5227 I5228 g3968 
g2996,8,g24[IL] I2131 g1107 g1702 I3284 g2159 I4189 g2996 
g3015,8,g28[IL] I2140 g1110 g1714 I3291 g2164 I4220 g3015 
g3541,1,g3541 
g2643,8,g48[IL] I1917 g894 g1326 I3496 g2346 I3785 g2643 
g6284,3,g6110 I8002 g6284 
g5883,7,g5060 g5318 g5467 g5536 g5631 g5824 g5883 
g3868,2,g3491 g3868 
g3752,1,g3752 
I4935,8,I3168 I3169 I3170 g2061 g2602 I4646 g3369 I4935 
g1540,4,I2506 I2507 I2508 g1540 
g1047,6,g33[IL] g29[IL] I2089 I2090 I2091 g1047 
g1044,6,g25[IL] g19[IL] I2080 I2081 I2082 g1044 
g1534,4,I2497 I2498 I2499 g1534 
g1042,6,g15[IL] g11[IL] I2072 I2073 I2074 g1042 
g1036,6,g7[IL] g3[IL] I2060 I2061 I2062 g1036 
g5996,7,g5060 g5318 g5467 g5536 g5631 g5824 g5996 
g6360,3,g6182 I8144 g6360 
g6047,7,g5060 g5318 g5467 g5536 g5631 g5824 g6047 
g1692,5,g25[IL] I2175 g1156 I2696 g1692 
g6034,7,g5060 g5318 g5467 g5536 g5631 g5824 g6034 
g6362,3,g6185 I8150 g6362 
g6055,7,g5060 g5318 g5467 g5536 g5631 g5824 g6055 
g1696,5,g29[IL] I2185 g1173 I2700 g1696 
g5995,7,g5060 g5318 g5467 g5536 g5631 g5824 g5995 
g6364,3,g6167 I8156 g6364 
g6056,7,g5060 g5318 g5467 g5536 g5631 g5824 g6056 
g1699,5,g3[IL] I2196 g1189 I2703 g1699 
g6039,7,g5060 g5318 g5467 g5536 g5631 g5824 g6039 
g6366,3,g6189 I8162 g6366 
g6060,7,g5060 g5318 g5467 g5536 g5631 g5824 g6060 
g1703,5,g33[IL] I2199 g1190 I2707 g1703 
g6035,7,g5060 g5318 g5467 g5536 g5631 g5824 g6035 
g6368,3,g6170 I8168 g6368 
g6061,7,g5060 g5318 g5467 g5536 g5631 g5824 g6061 
g1711,5,g7[IL] I2207 g1203 I2712 g1711 
g6014,7,g5060 g5318 g5467 g5536 g5631 g5824 g6014 
g6370,3,g6173 I8174 g6370 
