CLUSTER ROOT NODE,CLUSTER SIZE,CLUSTER CONTENTS
SO_19_,8,SO_19_ U9613 U10075 U10071 U10073 U10072 U10067 U9668 
SO_18_,8,SO_18_ U9812 U11485 U10067 U9668 U11484 U10065 U10064 
SO_17_,8,SO_17_ U9813 U11492 U10063 U9664 U11491 U10061 U10060 
SO_16_,8,SO_16_ U9814 U11499 U10059 U9661 U11498 U10057 U10056 
SO_15_,8,SO_15_ U9815 U11506 U10055 U9658 U11505 U10053 U10052 
SO_14_,8,SO_14_ U9816 U11513 U10051 U9655 U11512 U10049 U10048 
SO_13_,8,SO_13_ U9817 U11520 U10047 U9652 U11519 U10045 U10044 
SO_12_,8,SO_12_ U9818 U11527 U10043 U9649 U11526 U10041 U10040 
SO_11_,8,SO_11_ U9819 U11534 U10039 U9646 U11533 U10037 U10036 
SO_10_,8,SO_10_ U9820 U11541 U10035 U9643 U11540 U10033 U10032 
SO_9_,8,SO_9_ U9804 U11422 U10031 U9641 U11421 U10029 U10028 
SO_8_,8,SO_8_ U9805 U11429 U10027 U9636 U11428 U10025 U10024 
SO_7_,8,SO_7_ U9806 U11436 U10023 U11435 U9633 U10021 U10020 
SO_6_,8,SO_6_ U9807 U11443 U10019 U9630 U11442 U10017 U10016 
SO_5_,8,SO_5_ U9808 U11450 U10015 U9627 U10013 U10012 U10011 
SO_4_,8,SO_4_ U9809 U11457 U10011 U9624 U11456 U10009 U10008 
SO_3_,8,SO_3_ U9810 U11464 U10007 U9621 U10005 U10004 U10003 
SO_2_,8,SO_2_ U9811 U11471 U10003 U9618 U11470 U10002 U10001 
SO_1_,8,SO_1_ U9612 U11476 U11474 U2255 U11473 U10000 U9616 
SO_0_,7,SO_0_ U9803 U11542 U2254 U9614 P2_ADDR_REG_0_[IL] P1_ADDR_REG_0_[IL] 
RD,7,RD U3556 U2564 U2563 U2632 P1_RD_REG[IL] P2_RD_REG[IL] 
WR,7,WR U9972 U11415 U2253 U9971 P1_WR_REG[IL] P2_WR_REG[IL] 
U3362[OL],8,U3362[OL] U3362 U8381 U8528 U8527 U8526 U2560 U2561 
U3386[OL],8,U3386[OL] U3386 U8380 U8518 U8517 U2251 U5359 U5206 
U4033[OL],8,U4033[OL] U4033 U8379 U5462 U1328 U5463 U5359 U4902 
U9556[OL],8,U9556[OL] U9556 U3383 U2926 U5444 U5443 U5442 U1330 
U4060[OL],8,U4060[OL] U4060 U8378 U3025 U828 U5209 U5415 U8406 
U3977[OL],8,U3977[OL] U3977 U8376 U2802 U1325 U2620 U5209 U5415 
U9557[OL],8,U9557[OL] U9557 U4057 U2789 U5514 U5878 U4151 U2772 
U4031[OL],8,U4031[OL] U4031 U8375 U480 U1320 U2436 U4151 U2445 
U4024[OL],8,U4024[OL] U4024 U8373 U3016 U827 U826 U2437 U2438 
U4026[OL],8,U4026[OL] U4026 U8370 U2758 U1318 U5546 U5548 U5547 
U3361[OL],8,U3361[OL] U3361 U8369 U8560 U8559 U3198 U4910 U5573 
U4046[OL],8,U4046[OL] U4046 U8368 U2837 U825 U2576 U2821 U509 
U9558[OL],8,U9558[OL] U9558 U4092 U3164 U824 U2247 U4165 U5594 
U9559[OL],8,U9559[OL] U9559 U11378 U3167 U5725 U8413 U8412 U841 
U4088[OL],8,U4088[OL] U4088 U8365 U2826 U835 U8415 U5212 U2576 
U4066[OL],8,U4066[OL] U4066 U8364 U2818 U817 U8414 U5212 U2576 
