NODE,PI?,PO?,NODE DELAY,NODE LABEL,CLUSTER SIZE,CLUSTER CONTENTS
P1_ADDR_REG_19_[IL],Y,N,0,0,1,P1_ADDR_REG_19_[IL] 
U9669,N,N,1,1,2,U9669 P1_ADDR_REG_19_[IL] 
P2_ADDR_REG_19_[IL],Y,N,0,0,1,P2_ADDR_REG_19_[IL] 
U2252,N,N,1,2,4,U2252 U9669 P1_ADDR_REG_19_[IL] P2_ADDR_REG_19_[IL] 
U11478,N,N,1,2,4,U11478 U9669 P1_ADDR_REG_19_[IL] P2_ADDR_REG_19_[IL] 
P2_ADDR_REG_18_[IL],Y,N,0,0,1,P2_ADDR_REG_18_[IL] 
P2_ADDR_REG_17_[IL],Y,N,0,0,1,P2_ADDR_REG_17_[IL] 
P2_ADDR_REG_16_[IL],Y,N,0,0,1,P2_ADDR_REG_16_[IL] 
P2_ADDR_REG_15_[IL],Y,N,0,0,1,P2_ADDR_REG_15_[IL] 
P2_ADDR_REG_14_[IL],Y,N,0,0,1,P2_ADDR_REG_14_[IL] 
P2_ADDR_REG_13_[IL],Y,N,0,0,1,P2_ADDR_REG_13_[IL] 
P2_ADDR_REG_12_[IL],Y,N,0,0,1,P2_ADDR_REG_12_[IL] 
P2_ADDR_REG_11_[IL],Y,N,0,0,1,P2_ADDR_REG_11_[IL] 
P2_ADDR_REG_10_[IL],Y,N,0,0,1,P2_ADDR_REG_10_[IL] 
P2_ADDR_REG_9_[IL],Y,N,0,0,1,P2_ADDR_REG_9_[IL] 
P2_ADDR_REG_8_[IL],Y,N,0,0,1,P2_ADDR_REG_8_[IL] 
P2_ADDR_REG_7_[IL],Y,N,0,0,1,P2_ADDR_REG_7_[IL] 
P2_ADDR_REG_6_[IL],Y,N,0,0,1,P2_ADDR_REG_6_[IL] 
P2_ADDR_REG_5_[IL],Y,N,0,0,1,P2_ADDR_REG_5_[IL] 
P2_ADDR_REG_4_[IL],Y,N,0,0,1,P2_ADDR_REG_4_[IL] 
P2_ADDR_REG_3_[IL],Y,N,0,0,1,P2_ADDR_REG_3_[IL] 
P2_ADDR_REG_2_[IL],Y,N,0,0,1,P2_ADDR_REG_2_[IL] 
P1_ADDR_REG_1_[IL],Y,N,0,0,1,P1_ADDR_REG_1_[IL] 
P1_ADDR_REG_0_[IL],Y,N,0,0,1,P1_ADDR_REG_0_[IL] 
P2_ADDR_REG_0_[IL],Y,N,0,0,1,P2_ADDR_REG_0_[IL] 
U9616,N,N,1,1,3,U9616 P2_ADDR_REG_0_[IL] P1_ADDR_REG_0_[IL] 
U10000,N,N,1,2,4,U10000 U9616 P2_ADDR_REG_0_[IL] P1_ADDR_REG_0_[IL] 
U9642,N,N,1,3,6,U9642 U10000 U9616 P2_ADDR_REG_0_[IL] P1_ADDR_REG_0_[IL] P1_ADDR_REG_1_[IL] 
P2_ADDR_REG_1_[IL],Y,N,0,0,1,P2_ADDR_REG_1_[IL] 
U9617,N,N,1,1,2,U9617 P1_ADDR_REG_1_[IL] 
U10001,N,N,1,2,6,U10001 U9617 U9616 P2_ADDR_REG_0_[IL] P1_ADDR_REG_0_[IL] P1_ADDR_REG_1_[IL] 
U10002,N,N,1,3,8,U10002 U10001 U9617 U9616 P2_ADDR_REG_0_[IL] P1_ADDR_REG_0_[IL] P1_ADDR_REG_1_[IL] P2_ADDR_REG_1_[IL] 
U9618,N,N,1,7,8,U9618 U10002 U10001 U9617 U9642 U10000 U9616 P2_ADDR_REG_0_[IL] 
U10006,N,N,1,8,8,U10006 U9618 U10002 U10001 U9617 U9642 U10000 U9616 
P1_ADDR_REG_2_[IL],Y,N,0,0,1,P1_ADDR_REG_2_[IL] 
U10003,N,N,1,8,8,U10003 U9618 U10002 U10001 U9617 U9642 U10000 U9616 
U9620,N,N,1,1,2,U9620 P2_ADDR_REG_2_[IL] 
U10004,N,N,1,9,8,U10004 U10003 U9618 U10002 U10001 U9617 U9642 U10000 
U10005,N,N,1,10,8,U10005 U10004 U10003 U9618 U10002 U10001 U9617 U9642 
U9621,N,N,1,11,8,U9621 U10005 U10004 U10003 U9618 U10006 U10002 U10001 
U10010,N,N,1,12,8,U10010 U9621 U10005 U10004 U10003 U9618 U10006 U10002 
P1_ADDR_REG_3_[IL],Y,N,0,0,1,P1_ADDR_REG_3_[IL] 
U10007,N,N,1,12,8,U10007 U9621 U10005 U10004 U10003 U9618 U10006 U10002 
U9623,N,N,1,1,2,U9623 P2_ADDR_REG_3_[IL] 
U10008,N,N,1,13,8,U10008 U10007 U9621 U10005 U10004 U10003 U9618 U10006 
U10009,N,N,1,15,8,U10009 U10008 U10007 U9621 U10005 U10004 U10003 U9618 
U9624,N,N,1,18,8,U9624 U10009 U10008 U10007 U9621 U10005 U10004 U10003 
